,month_year,cases,cat_adoption,cat_surrender,dog_adoption
0,2020-01,0.0,,,
1,2020-02,0.0,,,
2,2020-03,123.0,,,
3,2020-04,836.0,,,
4,2020-05,1157.0,,,
5,2020-06,3300.0,,,
6,2020-07,8934.0,,,
7,2020-08,6307.0,,,
8,2020-09,4729.0,,,
9,2020-10,5316.0,,,
10,2020-11,11620.0,,,
11,2020-12,18373.5,,,
12,2021-01,19484.5,,,
13,2021-02,10001.0,,,
14,2021-03,4487.0,,,
15,2021-04,3357.0,,,
16,2021-05,1955.0,,,
17,2021-06,1487.0,,,
18,2021-07,4276.0,,,
19,2021-08,14982.0,,,
20,2021-09,15226.0,,,
21,2021-10,5657.0,,,
22,2021-11,3128.0,,,
23,2021-12,8384.0,,,
24,2022-01,52741.0,,,
25,2022-02,14264.0,,,
